cpu,ram,disco,Quando foi Coletado,Rede recebida,Rede enviada,Frequencia de uso da CPU
16.8,82.0,81.9,2026-08-18 18:34:00.922593,0.0,0.0,"scpufreq(current=1700.0, min=0.0, max=1700.0)"
30.1,81.8,81.9,2026-08-18 18:34:07.966395,0.0,0.0,"scpufreq(current=1700.0, min=0.0, max=1700.0)"
3.2,81.3,81.9,2026-08-18 18:34:14.989449,0.0,0.0,"scpufreq(current=1700.0, min=0.0, max=1700.0)"
9.6,80.8,81.9,2026-08-18 18:34:22.015197,0.0,0.0,"scpufreq(current=1700.0, min=0.0, max=1700.0)"
2.3,80.7,81.9,2026-08-18 18:34:29.039454,0.0,0.0,"scpufreq(current=1700.0, min=0.0, max=1700.0)"
7.6,80.7,81.9,2026-08-18 18:34:36.066016,0.0,0.0,"scpufreq(current=1700.0, min=0.0, max=1700.0)"
7.3,80.7,81.9,2026-08-18 18:34:43.088975,0.0,0.0,"scpufreq(current=1700.0, min=0.0, max=1700.0)"
5.5,80.5,81.9,2026-08-18 18:34:50.113554,0.0,0.0,"scpufreq(current=1700.0, min=0.0, max=1700.0)"
5.2,80.5,81.9,2026-08-18 18:34:57.137759,0.0,0.0,"scpufreq(current=1700.0, min=0.0, max=1700.0)"
8.1,80.7,81.9,2026-08-18 18:35:04.160426,0.0,0.0,"scpufreq(current=1700.0, min=0.0, max=1700.0)"
4.1,80.6,81.9,2026-08-18 18:35:11.186071,0.0,0.0,"scpufreq(current=1700.0, min=0.0, max=1700.0)"
25.0,80.9,81.9,2026-08-18 18:35:18.209855,0.0,0.0,"scpufreq(current=1700.0, min=0.0, max=1700.0)"
